,group,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
21R4973AZZA,C2,0,0,0,0.044430243,0,0,0.01323219,0,0.035648153,0,0.009771988,0,0,0.016358988,0.076464104,0,0.48808921,0,0.01700239,0,0.242077097,0.056925636,0.13,0.295303145,0.957046081
21R6065AZZA,C1,0,0,0,0.043181998,0.009747728,0.002754432,0,0.037339493,0,0,0,0.029321838,0,0.090271086,0.312073363,0.038739416,0.258387597,0,0,0.040327799,0.126308697,0.011546553,0.12,0.308533133,0.997047011
21R6805AZZA,C1,0,0,0,0.037580659,0.000986632,0,0.007002909,0.012486651,0.005879382,0,0,0.044511954,0.003630374,0.210630783,0.014416138,0.006963367,0.239777345,0,0,0.066673262,0.26955057,0.079909976,0.17,0.234148954,0.984401085
21R7500AZZA,C1,0.005190252,0,0.020731134,0.071830527,0,0,0,0.015896875,0,0,0,0.039278406,0.010537396,0,0.046725523,0.031122222,0.229223308,0,0,0.056701381,0.455415868,0.017347108,0.03,0.507889761,0.883964029
21R7511AZZA,C1,0.02039859,0,0.019706173,0.064773775,0,0,0.028267272,0,0.044925967,0.027008587,0,0.055451885,0.029466988,0.019695657,0.174651622,0.065776976,0.185769022,0,0.052062596,0,0.198911134,0.013133756,0.25,0.190239065,1.002029119
21R7772AZZA,C2,0,0,0.03937397,0.023319321,0,0.015815755,0,0.010023121,0.014181634,0,0,0.083760688,0,0,0.018902611,0.021607331,0.194329943,0,0,0.330173882,0.248511743,0,0.03,0.549282602,0.83461135
21R9253AZZA,C1,0.000483889,0,0,0.023300619,0,0.073404732,0,0.043593539,0,0,0,0.026214794,0.197745074,0,0.016243397,0,0.42594898,0,0,0.003046723,0.190018254,0,0.7,0.029223198,1.041355598
21R9387AZZA,C2,0,0.024031703,0.004969633,0.203537833,0,0,0,0,0.070618178,0.039783152,0,0.033657822,0,0.114419413,0.034208236,0.078651601,0.004918647,0,0.025453595,0,0.248756921,0.116993266,0.15,0.272120315,0.965851203
RN21R3425AZZAA,C1,0,0.037959835,0,0.035366802,0,0.046310041,0,0,0.007813335,0,0,0.080383538,0.013026179,0,0.196138576,0.101851834,0.138033378,0,0,0.011402998,0.328984198,0.002729286,0.14,0.280147098,0.973431773
RN21R3996AZZAB,C1,0,0.045618212,0,0.127506607,0.070036006,0.20216823,0,0,0,0,0,0.123920097,0.028246021,0,0.092666067,0.034243855,0.21782965,0,0.0175762,0,0.031261553,0.008927501,0.17,0.240745771,0.992088789
RN21R5653AZZAB,C2,0,0.010100429,0,0.05165628,0,0,0,0.024281383,0.009537683,0.00207313,0,0.062829522,0,0,0.17551622,0.027565931,0.350854028,0,0,0.041713754,0.229148581,0.01472306,0.03,0.568359005,0.832441436
RN21R6723AZZAB,C2,0,0,0,0.050068718,0,0,0,0.027615558,0,0.00616306,0,0.024227669,0.00876086,0,0.205869416,0,0.550194901,0,0,0.039049221,0.088050598,0,0.04,0.491244938,0.868929411
RN21R7618AZZAB,C2,0,0,0,0,0,0.025165234,0,0,0.003839176,0.000464957,0,0.001076789,0.009489947,0,0.020217903,0,0.744901777,0,0.018759902,0,0.121007544,0.055076771,0.03,0.540418729,0.870690993
RN21R7921AZZAA,C2,0,0,0,0.03265552,0.087806496,0,0,0,0,0.008985423,0,0.014325137,0.024629411,0,0.0026569,0.060804316,0.38888868,0.220342818,0.097853698,0,0.035553567,0.025498034,0.12,0.313979029,0.951081283
